x_value,total_1,total_2
0,1000,1000
1,1008,1004
2,1013,1008
3,1014,1013
4,1022,1011
5,1025,1012
6,1033,1019
7,1040,1022
8,1041,1021
9,1049,1029
10,1045,1029
11,1042,1032
12,1038,1034
13,1036,1041
14,1030,1035
15,1034,1031
16,1041,1036
17,1047,1039
18,1044,1039
19,1049,1038
20,1053,1043
21,1048,1048
22,1045,1052
23,1051,1046
24,1054,1046
25,1048,1046
26,1046,1040
27,1049,1036
28,1057,1039
29,1065,1038
30,1069,1044
31,1072,1052
32,1076,1058
33,1070,1060
34,1066,1057
35,1071,1062
36,1066,1067
37,1065,1065
38,1063,1066
39,1069,1065
40,1073,1065
41,1076,1065
42,1084,1073
43,1086,1071
44,1084,1078
45,1080,1075
46,1080,1083
47,1087,1087
48,1090,1086
49,1093,1087
50,1097,1090
51,1102,1090
52,1104,1084
53,1103,1089
54,1101,1097
55,1105,1094
56,1106,1090
57,1101,1096
58,1099,1099
59,1094,1103
60,1088,1106
61,1084,1105
62,1089,1103
63,1092,1100
64,1100,1103
65,1102,1098
66,1101,1092
67,1106,1092
68,1106,1087
69,1106,1086
70,1110,1092
71,1108,1087
72,1106,1093
73,1105,1089
74,1105,1089
75,1112,1084
76,1107,1087
77,1111,1085
78,1108,1085
79,1110,1081
80,1112,1086
81,1117,1088
82,1111,1082
83,1119,1084
84,1125,1092
85,1131,1093
86,1135,1089
87,1143,1093
88,1148,1090
89,1150,1090
90,1149,1097
91,1143,1100
92,1141,1105
93,1147,1099
94,1153,1096
95,1156,1090
96,1155,1085
97,1157,1085
98,1154,1083
99,1154,1080
100,1148,1086
101,1154,1080
102,1157,1085
103,1158,1082
104,1153,1078
105,1150,1082
106,1146,1078
107,1149,1077
108,1143,1081
109,1146,1085
110,1141,1079
111,1143,1084
112,1139,1083
113,1144,1088
114,1139,1083
115,1138,1089
116,1141,1091
117,1135,1086
118,1134,1088
119,1130,1092
120,1136,1088
121,1136,1082
122,1142,1083
123,1141,1080
124,1148,1086
125,1144,1086
126,1152,1080
127,1156,1077
128,1159,1071
129,1163,1073
130,1161,1077
131,1160,1077
132,1163,1078
133,1160,1081
134,1160,1086
135,1155,1088
136,1159,1085
137,1164,1081
138,1170,1076
139,1173,1070
140,1177,1067
141,1171,1066
142,1168,1067
143,1167,1061
144,1163,1069
145,1160,1071
146,1159,1076
147,1153,1082
148,1149,1084
149,1153,1084
150,1155,1089
151,1155,1092
152,1150,1092
153,1146,1094
154,1142,1088
155,1138,1093
156,1133,1100
157,1139,1101
158,1139,1108
159,1139,1107
160,1137,1105
161,1135,1111
162,1140,1114
163,1144,1109
164,1144,1114
165,1147,1112
166,1151,1119
167,1148,1118
168,1145,1112
169,1141,1113
170,1147,1119
171,1152,1121
172,1159,1121
173,1154,1115
174,1160,1122
175,1158,1128
176,1166,1126
177,1173,1128
178,1178,1131
179,1172,1129
180,1169,1124
181,1164,1131
182,1167,1136
183,1175,1135
184,1181,1131
185,1187,1138
186,1187,1136
187,1189,1141
188,1184,1146
189,1192,1151
190,1197,1152
191,1195,1158
192,1195,1153
193,1202,1153
194,1198,1148
195,1205,1153
196,1203,1153
197,1200,1150
198,1205,1149
199,1207,1150
200,1210,1146
201,1210,1144
202,1204,1146
203,1209,1147
204,1212,1146
205,1211,1150
206,1213,1154
207,1211,1157
208,1215,1160
209,1215,1167
210,1220,1161
211,1218,1167
212,1223,1170
213,1218,1166
214,1217,1174
215,1219,1177
216,1227,1179
217,1228,1174
218,1233,1177
219,1241,1177
220,1249,1178
221,1250,1177
222,1251,1176
223,1247,1173
224,1251,1172
225,1250,1166
226,1256,1163
227,1251,1162
228,1249,1157
229,1248,1156
230,1246,1150
231,1244,1145
232,1251,1142
233,1250,1147
234,1251,1146
235,1253,1147
236,1257,1148
237,1262,1142
238,1260,1138
239,1254,1132
240,1261,1136
241,1259,1133
242,1264,1129
243,1261,1127
244,1258,1121
245,1259,1123
246,1262,1120
247,1262,1120
248,1263,1119
249,1264,1124
250,1267,1126
251,1268,1131
252,1273,1131
253,1271,1129
254,1270,1133
255,1267,1139
256,1262,1136
257,1267,1140
258,1275,1140
259,1275,1137
260,1272,1135
261,1279,1138
262,1284,1135
263,1281,1141
264,1278,1139
265,1279,1139
266,1279,1135
267,1281,1139
268,1285,1142
269,1290,1136
270,1286,1138
271,1288,1139
272,1291,1138
273,1294,1145
274,1288,1151
275,1294,1150
276,1289,1154
277,1286,1158
278,1283,1152
279,1284,1157
280,1291,1163
281,1298,1159
282,1303,1156
283,1308,1155
284,1310,1159
285,1307,1166
286,1302,1164
287,1299,1164
288,1305,1161
289,1312,1161
290,1313,1163
291,1312,1171
292,1312,1171
293,1315,1167
294,1311,1163
295,1315,1171
296,1321,1169
297,1326,1163
298,1332,1166
299,1339,1168
300,1339,1175
301,1346,1179
302,1341,1183
303,1348,1185
304,1347,1185
305,1343,1187
306,1349,1190
307,1343,1193
308,1338,1188
309,1345,1191
310,1351,1192
311,1354,1191
312,1350,1186
313,1350,1184
314,1357,1191
315,1365,1199
316,1370,1197
317,1373,1198
318,1367,1202
319,1370,1201
320,1369,1198
321,1375,1200
322,1378,1197
323,1379,1205
324,1377,1205
325,1380,1211
326,1384,1211
327,1378,1205
328,1385,1212
329,1382,1212
330,1388,1209
331,1392,1215
